DistributionID,PP,MeanConnectivity,MeanAvailability,MinConnectivity,MinAvailability,ParameterValue
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.025
0.25,0.11067193675889328,0.4196428571428571,0.11607142857142856,0.05,0.1,0.025
0.5,0.0,NaN,NaN,NaN,NaN,0.025
0.75,0.25296442687747034,0.30546875,0.29687500000000006,0.05,0.15,0.025
1.0,0.5612648221343873,0.6989436619718311,0.4982394366197184,0.25,0.15,0.025
0.0,0.15019762845849802,0.35131578947368425,0.09342105263157896,0.05,0.05,0.125
0.25,0.3715415019762846,0.4978723404255319,0.24840425531914892,0.05,0.1,0.125
0.5,0.0,NaN,NaN,NaN,NaN,0.125
0.75,0.2015810276679842,0.46372549019607845,0.46372549019607845,0.05,0.3,0.125
1.0,0.2766798418972332,0.8035714285714287,0.62,0.5,0.35,0.125
0.0,0.30434782608695654,0.35129870129870133,0.15909090909090912,0.05,0.05,0.225
0.25,0.5059288537549407,0.5828125000000002,0.37851562499999997,0.05,0.1,0.225
0.5,0.0,NaN,NaN,NaN,NaN,0.225
0.75,0.07509881422924901,0.6868421052631579,0.6210526315789474,0.5,0.55,0.225
1.0,0.11462450592885376,0.8741379310344826,0.7396551724137931,0.7,0.55,0.225
0.0,0.48616600790513836,0.38861788617886184,0.2146341463414634,0.05,0.05,0.325
0.25,0.47035573122529645,0.6915966386554622,0.4899159663865546,0.2,0.2,0.325
0.5,0.0,NaN,NaN,NaN,NaN,0.325
0.75,0.019762845849802372,0.8699999999999999,0.8,0.8,0.75,0.325
1.0,0.023715415019762844,0.9333333333333332,0.875,0.9,0.8,0.325
0.0,0.6600790513833992,0.4407185628742515,0.2580838323353293,0.05,0.05,0.425
0.25,0.33992094861660077,0.7726744186046514,0.5912790697674418,0.4,0.3,0.425
0.5,0.0,NaN,NaN,NaN,NaN,0.425
0.75,0.0,NaN,NaN,NaN,NaN,0.425
1.0,0.0,NaN,NaN,NaN,NaN,0.425
