DistributionID,PP,MeanConnectivity,MeanAvailability,MinConnectivity,MinAvailability,ParameterValue
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.025
0.25,0.07509881422924901,0.5,0.1,0.05,0.1,0.025
0.5,0.0,NaN,NaN,NaN,NaN,0.025
0.75,0.22924901185770752,0.27327586206896554,0.26206896551724135,0.05,0.15,0.025
1.0,0.6205533596837944,0.670063694267516,0.48343949044586,0.2,0.15,0.025
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.125
0.25,0.16996047430830039,0.5790697674418605,0.1372093023255814,0.05,0.1,0.125
0.5,0.0,NaN,NaN,NaN,NaN,0.125
0.75,0.2885375494071146,0.3102739726027397,0.3109589041095891,0.05,0.15,0.125
1.0,0.466403162055336,0.7033898305084747,0.5457627118644067,0.25,0.3,0.125
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.225
0.25,0.25691699604743085,0.6053846153846155,0.17384615384615387,0.05,0.1,0.225
0.5,0.0,NaN,NaN,NaN,NaN,0.225
0.75,0.3201581027667984,0.32839506172839505,0.3549382716049383,0.05,0.15,0.225
1.0,0.34782608695652173,0.7340909090909092,0.6017045454545455,0.35,0.4,0.225
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.325
0.25,0.33992094861660077,0.6151162790697675,0.20872093023255808,0.05,0.1,0.325
0.5,0.0,NaN,NaN,NaN,NaN,0.325
0.75,0.3438735177865613,0.3522988505747127,0.39942528735632177,0.05,0.2,0.325
1.0,0.24110671936758893,0.7704918032786886,0.660655737704918,0.4,0.5,0.325
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.425
0.25,0.4150197628458498,0.621904761904762,0.24095238095238092,0.05,0.1,0.425
0.5,0.0,NaN,NaN,NaN,NaN,0.425
0.75,0.3557312252964427,0.37333333333333335,0.43999999999999995,0.05,0.2,0.425
1.0,0.1541501976284585,0.8115384615384614,0.7205128205128205,0.5,0.6,0.425
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.525
0.25,0.4901185770750988,0.6266129032258064,0.2733870967741936,0.05,0.1,0.525
0.5,0.0,NaN,NaN,NaN,NaN,0.525
0.75,0.34782608695652173,0.38579545454545455,0.47613636363636364,0.05,0.2,0.525
1.0,0.08695652173913043,0.8590909090909089,0.7818181818181817,0.7,0.7,0.525
0.0,0.09881422924901186,0.578,0.06200000000000002,0.05,0.05,0.625
0.25,0.5296442687747036,0.6242537313432838,0.3119402985074627,0.05,0.1,0.625
0.5,0.0,NaN,NaN,NaN,NaN,0.625
0.75,0.33201581027667987,0.3922619047619048,0.5011904761904762,0.05,0.2,0.625
1.0,0.039525691699604744,0.9,0.85,0.8,0.8,0.625
0.0,0.11462450592885376,0.5775862068965517,0.06724137931034484,0.05,0.05,0.725
0.25,0.5770750988142292,0.6311643835616438,0.347945205479452,0.05,0.1,0.725
0.5,0.0,NaN,NaN,NaN,NaN,0.725
0.75,0.2964426877470356,0.37799999999999995,0.5126666666666666,0.05,0.2,0.725
1.0,0.011857707509881422,0.9333333333333332,0.9166666666666666,0.9,0.9,0.725
0.0,0.1225296442687747,0.567741935483871,0.06935483870967743,0.05,0.05,0.825
0.25,0.6324110671936759,0.6365625,0.37968749999999996,0.05,0.1,0.825
0.5,0.0,NaN,NaN,NaN,NaN,0.825
0.75,0.2450592885375494,0.33225806451612905,0.5008064516129032,0.05,0.2,0.825
1.0,0.0,NaN,NaN,NaN,NaN,0.825
0.0,0.12648221343873517,0.5609375,0.07031250000000001,0.05,0.05,0.925
0.25,0.6877470355731226,0.6376436781609196,0.4054597701149425,0.05,0.1,0.925
0.5,0.0,NaN,NaN,NaN,NaN,0.925
0.75,0.1857707509881423,0.2372340425531915,0.45000000000000007,0.05,0.2,0.925
1.0,0.0,NaN,NaN,NaN,NaN,0.925
